time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-03T14:11:29.553Z,-0.2883,123.9886,78.49,4.8,mww,,40,1.428,1.07,us,us7000fr4t,2021-11-03T14:28:06.040Z,"137 km SE of Gorontalo, Indonesia",earthquake,5.1,6.9,0.098,10,reviewed,us,us
2021-11-03T13:37:07.083Z,41.5428,-118.7682,14.1,3,ml,8,98.84,0.897,0.1848,nn,nn00827440,2021-11-04T23:34:59.263Z,"50 km SSW of Denio, Nevada",earthquake,,7.5,0.42,7,reviewed,nn,nn
2021-11-03T13:02:51.470Z,19.3033,-65.0796,62,3.7,md,14,312,1.0163,0.34,pr,pr2021307001,2021-11-04T00:24:38.492Z,"107 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.56,8.65,0.09,9,reviewed,pr,pr
2021-11-03T12:45:40.964Z,-18.4741,168.9059,219.86,5,mww,,78,3.422,0.68,us,us7000fr49,2021-11-03T23:21:11.281Z,"102 km SE of Port-Vila, Vanuatu",earthquake,8,6.4,0.089,12,reviewed,us,us
2021-11-03T12:09:06.106Z,44.327,-115.3029,10,2.7,ml,,60,0.908,0.58,us,us7000fr40,2021-11-03T14:19:43.120Z,"31 km WNW of Stanley, Idaho",earthquake,3.5,2,0.055,44,reviewed,us,us
2021-11-03T12:01:56.381Z,28.1701,127.6382,186.48,4.5,mb,,90,1.443,0.56,us,us7000fr3z,2021-11-03T13:07:06.657Z,"175 km NNW of Nago, Japan",earthquake,7.1,11,0.181,9,reviewed,us,us
2021-11-03T10:10:47.552Z,39.287,-99.529,5,2.7,mb_lg,,47,0.499,0.61,us,us7000fr3j,2021-11-03T12:24:02.519Z,"4 km NE of Palco, Kansas",earthquake,1.4,2,0.095,29,reviewed,us,us
2021-11-03T09:11:18.664Z,1.8544,126.6616,29.89,4.5,mb,,119,1.285,0.74,us,us7000fr2z,2021-11-03T10:03:54.040Z,"142 km NW of Ternate, Indonesia",earthquake,8.9,5.8,0.116,22,reviewed,us,us
2021-11-03T07:47:00.880Z,18.0056,-66.9286,9,3.1,md,24,145,0.1211,0.17,pr,pr2021307000,2021-11-04T07:11:37.040Z,"2 km NW of Fuig, Puerto Rico",earthquake,0.33,0.48,0.21,8,reviewed,pr,pr
2021-11-03T07:28:29.330Z,-60.3961,-24.2685,35,4.9,mb,,181,9,0.42,us,us7000fr2p,2021-11-03T07:55:39.040Z,"South Sandwich Islands region",earthquake,9.7,2,0.085,43,reviewed,us,us
2021-11-03T07:26:26.052Z,-24.1836,-175.8391,10,4.9,mb,,118,5.389,1.2,us,us7000fr2n,2021-11-03T07:52:00.040Z,"south of Tonga",earthquake,5.6,1.9,0.114,28,reviewed,us,us
2021-11-03T06:45:25.516Z,62.5616,-149.738,44.4,2.5,ml,,,,0.6,ak,ak021e3ttue2,2021-11-04T06:08:39.040Z,"22 km ENE of Chase, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-11-03T05:36:45.315Z,-55.0699,-32.2326,10,4.7,mb,,99,2.593,0.62,us,us7000fr2y,2021-11-04T05:30:28.040Z,"South Georgia Island region",earthquake,10.4,1.8,0.104,28,reviewed,us,us
2021-11-03T04:38:17.367Z,-24.3065,-175.7732,35,4.8,mb,,53,5.295,0.55,us,us7000fr1v,2021-11-04T23:36:27.040Z,"south of Tonga",earthquake,9,1.8,0.086,42,reviewed,us,us
2021-11-03T04:29:45.473Z,37.0668,71.2043,113.76,4.3,mb,,107,0.505,0.72,us,us7000fr1n,2021-11-05T00:44:41.040Z,"39 km NE of Jurm, Afghanistan",earthquake,6.6,7,0.217,6,reviewed,us,us
2021-11-03T03:19:00.399Z,-24.4817,-175.9105,35,5.7,mww,,63,5.088,0.64,us,us7000fr0x,2021-11-05T01:08:15.583Z,"south of Tonga",earthquake,9.5,1.9,0.071,19,reviewed,us,us
